EIAID	Utility Name	State	eiaSTATE	ProgramID	Program Name	Wind	Solar	Bio	Hydro	Geo	Other	Cost (c/kwh) 	Cost Range (c/kwh)	Credit (Y/N)	Credit (c/kwh)	Blocks Available	Block Size (kWh)	Block Cost ($)	Percentage Options	Percentage Range	Contract Lengths	Monthly Minimum	Termination Fee (Y/N)	Termination Cost (Description)	Green-e	RECs Retired?	Revenue Neutral?	Retail	Waitlist (Y/N)	Rating (TBD for now)	Link to Sign-up Form	Sign-Up URL	Step 1	Step 2	Step 3	Step 4	Step 5	Link to FAQ's	FAQ URL	sign in required?	account name required?	account number?	Address?	Enrollment choices?	must be printed/mailed?	Email	Contact URL	Phone	Date Updated	Notes	Production
15016	Pickwick Electric Coop	MS	15016MS	15016MS1							1																																								0
15016	Pickwick Electric Coop	TN	15016TN	15016TN1							1																																								0
15034	Pierce-Pepin Coop Services	MN	15034MN	15034MN1							1																																								0
15034	Pierce-Pepin Coop Services	WI	15034WI	15034WI1							1																																								0
15141	Plateau Electric Cooperative	TN	15141TN	15141TN1							1																																								0
15159	City of Plymouth - (WI)	WI	15159WI	15159WI1							1																																								0
15211	Pontotoc Electric Power Assn	MS	15211MS	15211MS1							1																																								0
15248	Portland General Electric Co	WA	15248WA	15248WA1							1																																								0
15257	Poudre Valley REA, Inc	CO	15257CO	15257CO1							1																																								0
15293	Powell Valley Electric Coop	TN	15293TN	15293TN1							1																																								0
15293	Powell Valley Electric Coop	VA	15293VA	15293VA1							1																																								0
15311	Prague Public Works Authority	OK	15311OK	15311OK1							1																																								0
15312	Prairie Du Sac Municipal Electric Dept	WI	15312WI	15312WI1							1																																								0
15334	Prentiss County Elec Pwr Assn	MS	15334MS	15334MS1							1																																								0
15344	Polk-Burnett Electric Coop	MN	15344MN	15344MN1							1																																								0
15344	Polk-Burnett Electric Coop	WI	15344WI	15344WI1							1																																								0
15356	Price Electric Coop Inc	WI	15356WI	15356WI1							1																																								0
15419	PUD No 3 of Mason County	WA	15419WA	15419WA1							1																																								0
15470	Duke Energy Indiana, LLC	KY	15470KY	15470KY1							1																																								0
15470	Duke Energy Indiana, LLC	OH	15470OH	15470OH1							1																																								0
15473	Public Service Co of NM	NM	15473NM	15473NM1							1																																								0
15474	Public Service Co of Oklahoma	OK	15474OK	15474OK1							1																																								0
15507	City of Pulaski - (TN)	AL	15507AL	15507AL1							1																																								0
15507	City of Pulaski - (TN)	TN	15507TN	15507TN1							1																																								0
15700	Rayle Electric Membership Corp	GA	15700GA	15700GA1							1																																								0
15746	Red River Valley Rrl Elec Assn	OK	15746OK	15746OK1							1																																								0
15804	Reedsburg Utility Comm	WI	15804WI	15804WI1							1																																								0
15978	City of Richland Center - (WI)	WI	15978WI	15978WI1							1																																								0
16060	Riverland Energy Cooperative	MN	16060MN	16060MN1							1																																								0
16060	Riverland Energy Cooperative	WI	16060WI	16060WI1							1																																								0
16082	City of River Falls	WI	16082WI	16082WI1							1																																								0
16223	City of Rockwood - (TN)	TN	16223TN	16223TN1							1																																								0
16284	Roseau Electric Coop, Inc	MN	16284MN	16284MN1							1																																								0
16295	City of Roseville - (CA)	CA	16295CA	16295CA1							1																																								0
16368	Runestone Electric Assn	MN	16368MN	16368MN1							1																																								0
16382	Rural Electric Coop, Inc	OK	16382OK	16382OK1							1																																								0
16458	City of Russellville - (AL)	AL	16458AL	16458AL1							1																																								0
16459	City of Russellville - (KY)	KY	16459KY	16459KY1							1																																								0
16534	Sacramento Municipal Util Dist	CA	16534CA	16534CA1							1																																								0
16587	Salt River Electric Coop Corp	KY	16587KY	16587KY1							1																																								0
16603	San Luis Valley R E C, Inc	CO	16603CO	16603CO1							1																																								0
16606	Santee Electric Coop, Inc	SC	16606SC	16606SC1							1																																								0
16611	Access Energy Coop	IA	16611IA	16611IA1							1																																								0
16622	San Miguel Power Assn, Inc	CO	16622CO	16622CO1							1																																								0
16629	Sand Mountain Electric Coop	AL	16629AL	16629AL1							1																																								0
16649	Sangre De Cristo Elec Assn Inc	CO	16649CO	16649CO1							1																																								0
16655	City of Santa Clara - (CA)	CA	16655CA	16655CA1							1																																								0
16674	Satilla Rural Elec Member Corporation	GA	16674GA	16674GA1							1																																								0
16740	Scenic Rivers Energy Coop	IL	16740IL	16740IL1							1																																								0
16740	Scenic Rivers Energy Coop	WI	16740WI	16740WI1							1																																								0
16829	City of Scottsboro	AL	16829AL	16829AL1							1																																								0
16865	Sawnee Electric Membership Corporation	GA	16865GA	16865GA1							1																																								0
16868	City of Seattle - (WA)	WA	16868WA	16868WA1							1																																								0
16930	Sequachee Valley Electric Coop	AL	16930AL	16930AL1							1																																								0
16930	Sequachee Valley Electric Coop	TN	16930TN	16930TN1							1																																								0
16949	Sevier County Electric System	TN	16949TN	16949TN1							1																																								0
17033	Sheffield Utilities	AL	17033AL	17033AL1							1																																								0
17044	Shelby Energy Co-op, Inc	KY	17044KY	17044KY1							1																																								0
17047	City of Shelbyville - (TN)	TN	17047TN	17047TN1							1																																								0
17127	Town of Shrewsbury - (MA)	MA	17127MA	17127MA1							1																																								0
17166	Sierra Pacific Power Co	CA	17166CA	17166CA1							1																																								0
17166	Sierra Pacific Power Co	NV	17166NV	17166NV1							1																																								0
17260	North West Rural Electric Coop	IA	17260IA	17260IA1							1																																								0
17267	Sioux Valley SW Elec Coop	MN	17267MN	17267MN1							1																																								0
17267	Sioux Valley SW Elec Coop	SD	17267SD	17267SD1							1																																								0
17290	Slash Pine Elec Member Corp	FL	17290FL	17290FL1							1																																								0
17290	Slash Pine Elec Member Corp	GA	17290GA	17290GA1							1																																								0
17324	Slinger Utilities	WI	17324WI	17324WI1							1																																								0
17452	City of Smithville - (TN)	TN	17452TN	17452TN1							1																																								0
17470	PUD 1 of Snohomish County	WA	17470WA	17470WA1							1																																								0
17534	South Alabama Elec Coop, Inc	AL	17534AL	17534AL1							1																																								0
17543	South Carolina Public Service Authority	SC	17543SC	17543SC1							1																																								0
17564	South Kentucky Rural E C C	KY	17564KY	17564KY1							1																																								0
17564	South Kentucky Rural E C C	TN	17564TN	17564TN1							1																																								0
17592	Southeast Colorado Power Assn	CO	17592CO	17592CO1							1																																								0
17592	Southeast Colorado Power Assn	KS	17592KS	17592KS1							1																																								0
17599	Southeastern Indiana R E M C	IN	17599IN	17599IN1							1																																								0
17599	Southeastern Indiana R E M C	OH	17599OH	17599OH1							1																																								0
17603	Southeastern Electric Coop Inc - (OK)	OK	17603OK	17603OK1							1																																								0
17603	Southeastern Electric Coop Inc - (OK)	TX	17603TX	17603TX1							1																																								0
17609	Southern California Edison Co	AZ	17609AZ	17609AZ1							1																																								0
17609	Southern California Edison Co	CA	17609CA	17609CA1							1																																								0
17681	Southwest Rural Elec Assn Inc	OK	17681OK	17681OK1							1																																								0
17694	Southwest Tennessee E M C	TN	17694TN	17694TN1							1																																								0
17718	Southwestern Public Service Co	KS	17718KS	17718KS1							1																																								0
17718	Southwestern Public Service Co	NM	17718NM	17718NM1							1																																								0
17718	Southwestern Public Service Co	OK	17718OK	17718OK1							1																																								0
17718	Southwestern Public Service Co	TX	17718TX	17718TX1							1																																								0
17740	City of Sparta	TN	17740TN	17740TN1							1																																								0
17826	Springer Electric Coop, Inc	NM	17826NM	17826NM1							1																																								0
17829	City of Springfield - (TN)	TN	17829TN	17829TN1							1																																								0
17832	Snapping Shoals El Member Corp	GA	17832GA	17832GA1							1																																								0
17839	City of Springfield - (OR)	OR	17839OR	17839OR1							1																																								0
17868	St Croix Electric Coop	MN	17868MN	17868MN1							1																																								0
17868	St Croix Electric Coop	WI	17868WI	17868WI1							1																																								0
17874	City of St George	UT	17874UT	17874UT1							1																																								0
18006	City of Starkville	MS	18006MS	18006MS1							1																																								0
18019	Stearns Cooperative Elec Assn	MN	18019MN	18019MN1							1																																								0
18249	City of Sturgeon Bay - (WI)	WI	18249WI	18249WI1							1																																								0
18305	Sumter Electric Member Corp	GA	18305GA	18305GA1							1																																								0
18312	Sun Prairie Utilities	WI	18312WI	18312WI1							1																																								0
18383	Taylor Electric Coop - (WI)	WI	18383WI	18383WI1							1																																								0
18384	City of Sweetwater	TN	18384TN	18384TN1							1																																								0
18429	City of Tacoma - (WA)	WA	18429WA	18429WA1							1																																								0
18446	T I P Rural Electric Coop	IA	18446IA	18446IA1							1																																								0
18447	Tallahatchie Valley E P A	MS	18447MS	18447MS1							1																																								0
18472	City of Tarrant	AL	18472AL	18472AL1							1																																								0
18499	Three Notch Elec Member Corp	AL	18499AL	18499AL1							1																																								0
18499	Three Notch Elec Member Corp	GA	18499GA	18499GA1							1																																								0
18642	Tennessee Valley Authority	AL	18642AL	18642AL1							1																																								0
18642	Tennessee Valley Authority	AR	18642AR	18642AR1							1																																								0
18642	Tennessee Valley Authority	GA	18642GA	18642GA1							1																																								0
18642	Tennessee Valley Authority	KY	18642KY	18642KY1							1																																								0
18642	Tennessee Valley Authority	MS	18642MS	18642MS1							1																																								0
18642	Tennessee Valley Authority	NC	18642NC	18642NC1							1																																								0
18642	Tennessee Valley Authority	TN	18642TN	18642TN1							1																																								0
18642	Tennessee Valley Authority	VA	18642VA	18642VA1							1																																								0
18643	Tennessee Valley Electric Coop	TN	18643TN	18643TN1							1																																								0
18940	Tipmont Rural Elec Member Corp	IN	18940IN	18940IN1							1																																								0
18942	Tipton Municipal Electric Util	IN	18942IN	18942IN1							1																																								0
18943	Tippah Electric Power Assn	MS	18943MS	18943MS1							1																																								0
18951	Tishomingo County E P A	AL	18951AL	18951AL1							1																																								0
18951	Tishomingo County E P A	MS	18951MS	18951MS1							1																																								0
18956	Tri-County Elec Member Corp	GA	18956GA	18956GA1							1																																								0
19007	Tombigbee Electric Power Assn	MS	19007MS	19007MS1							1																																								0
19022	Tongue River Electric Coop Inc	MT	19022MT	19022MT1							1																																								0
19149	Trenton TN (City of)	TN	19149TN	19149TN1							1																																								0
19154	Tri-State Electric Member Corp	GA	19154GA	19154GA1							1																																								0
19154	Tri-State Electric Member Corp	NC	19154NC	19154NC1							1																																								0
19154	Tri-State Electric Member Corp	TN	19154TN	19154TN1							1																																								0
19162	Tri-County Elec Member Corp	KY	19162KY	19162KY1							1																																								0
19162	Tri-County Elec Member Corp	TN	19162TN	19162TN1							1																																								0
19219	Diverse Power Incorporated	AL	19219AL	19219AL1							1																																								0
19219	Diverse Power Incorporated	GA	19219GA	19219GA1							1																																								0
19266	Tullahoma Board-Public Utils	TN	19266TN	19266TN1							1																																								0
19273	City of Tupelo - (MS)	MS	19273MS	19273MS1							1																																								0
19307	City of Tuscumbia	AL	19307AL	19307AL1							1																																								0
19324	Two Rivers Water & Light	WI	19324WI	19324WI1							1																																								0
19325	Umatilla Electric Coop Assn	OR	19325OR	19325OR1							1																																								0
19430	City of Union City	TN	19430TN	19430TN1							1																																								0
19436	Union Electric Co - (MO)	IA	19436IA	19436IA1							1																																								0
19436	Union Electric Co - (MO)	IL	19436IL	19436IL1							1																																								0
19437	Western Iowa Power Coop	IA	19437IA	19437IA1							1																																								0
19446	Duke Energy Kentucky	IN	19446IN	19446IN1							1																																								0
19446	Duke Energy Kentucky	KY	19446KY	19446KY1							1																																								0
19446	Duke Energy Kentucky	OH	19446OH	19446OH1							1																																								0
19499	United Power, Inc	CO	19499CO	19499CO1							1																																								0
19547	Hawaiian Electric Co Inc	HI	19547HI	19547HI1							1																																								0
19574	Upper Cumberland E M C	TN	19574TN	19574TN1							1																																								0
19578	Upper Peninsula Power Company	MI	19578MI	19578MI1							1																																								0
19581	Upson Elec Member Corp	GA	19581GA	19581GA1							1																																								0
19813	Vernon Electric Coop	WI	19813WI	19813WI1							1																																								0
19876	Virginia Electric & Power Co	DC	19876DC	19876DC1							1																																								0
19876	Virginia Electric & Power Co	MD	19876MD	19876MD1							1																																								0
19876	Virginia Electric & Power Co	NC	19876NC	19876NC1							1																																								0
19898	Volunteer Electric Coop	GA	19898GA	19898GA1							1																																								0
19898	Volunteer Electric Coop	TN	19898TN	19898TN1							1																																								0
20065	Walton Electric Member Corp	GA	20065GA	20065GA1							1																																								0
20130	Warren Rural Elec Coop Corp	KY	20130KY	20130KY1							1																																								0
20130	Warren Rural Elec Coop Corp	TN	20130TN	20130TN1							1																																								0
20140	City of Washington - (GA)	GA	20140GA	20140GA1							1																																								0
20146	Washington Elec Member Corp	GA	20146GA	20146GA1							1																																								0
20169	Avista Corp	ID	20169ID	20169ID1							1																																								0
20169	Avista Corp	WA	20169WA	20169WA1							1																																								0
20176	Water Valley Electric Dept MS (City of)	MS	20176MS	20176MS1							1																																								0
20182	Waterloo Light & Water Commission	WI	20182WI	20182WI1							1																																								0
20214	Waverly Municipal Elec Utility	IA	20214IA	20214IA1							1																																								0
20228	Weakley County Mun Elec Sys	TN	20228TN	20228TN1							1																																								0
20310	Town of Wellesley - (MA)	MA	20310MA	20310MA1							1																																								0
20377	West Kentucky Rural E C C	KY	20377KY	20377KY1							1																																								0
20394	City of West Point - (MS)	MS	20394MS	20394MS1							1																																								0
20413	Mountrail-Williams Elec Coop	ND	20413ND	20413ND1							1																																								0
20434	Westby Electric & Water Utility	WI	20434WI	20434WI1							1																																								0
20477	City of Westerville - (OH)	OH	20477OH	20477OH1							1																																								0
20583	Whitehall Municipal Electric Utility	WI	20583WI	20583WI1							1																																								0
20603	Northeastern Rural E M C	IN	20603IN	20603IN1							1																																								0
20639	Wild Rice Electric Coop, Inc	MN	20639MN	20639MN1							1																																								0
20793	City of Winchester - (TN)	TN	20793TN	20793TN1							1																																								0
20841	Wiregrass Electric Coop, Inc	AL	20841AL	20841AL1							1																																								0
20847	Wisconsin Electric Power Co	MI	20847MI	20847MI1							1																																								0
20856	Wisconsin Power & Light Co	IA	20856IA	20856IA1							1																																								0
20856	Wisconsin Power & Light Co	WI	20856WI	20856WI1							1																																								0
20860	Wisconsin Public Service Corp	MI	20860MI	20860MI1							1																																								0
20860	Wisconsin Public Service Corp	WI	20860WI	20860WI1							1																																								0
20996	Wright-Hennepin Coop Elec Assn	MN	20996MN	20996MN1							1																																								0
20997	Yellowstone Valley Elec Co-op	MT	20997MT	20997MT1							1																																								0
21002	York Electric Coop Inc	SC	21002SC	21002SC1							1																																								0
21075	Y-W Electric Assn Inc	CO	21075CO	21075CO1							1																																								0
21081	Yampa Valley Electric Assn Inc	CO	21081CO	21081CO1							1																																								0
21081	Yampa Valley Electric Assn Inc	WY	21081WY	21081WY1							1																																								0
21101	Yellow Springs OH (Village of)	OH	21101OH	21101OH1							1																																								0
21513	Fergus Electric Coop, Inc	MT	21513MT	21513MT1							1																																								0
21526	City of Laurens - (SC)	SC	21526SC	21526SC1							1																																								0
22500	Westar Energy Inc	KS	22500KS	22500KS1							1																																								0
22500	Westar Energy Inc	MO	22500MO	22500MO1							1																																								0
22500	Westar Energy Inc	OK	22500OK	22500OK1							1																																								0
23586	Vigilante Electric Coop, Inc	ID	23586ID	23586ID1							1																																								0
23586	Vigilante Electric Coop, Inc	MT	23586MT	23586MT1							1																																								0
24753	Boone County Rural EMC	IN	24753IN	24753IN1							1																																								0
24949	Cass County Elec Coop Inc	ND	24949ND	24949ND1							1																																								0
25177	Dakota Electric Association	MN	25177MN	25177MN1							1																																								0
26218	Little Ocmulgee El Member Corp	GA	26218GA	26218GA1							1																																								0
26934	Red Lake Electric Coop, Inc	MN	26934MN	26934MN1							1																																								0
26939	Red River Valley Coop Pwr Assn	MN	26939MN	26939MN1							1																																								0
27222	City of Ripley - (TN)	TN	27222TN	27222TN1							1																																								0
28541	Clatskanie Peoples Util Dist	OR	28541OR	28541OR1							1																																								0
30517	Pioneer Electric Coop, Inc - (AL)	AL	30517AL	30517AL1							1																																								0
31833	Okefenoke Rural El Member Corp	FL	31833FL	31833FL1							1																																								0
31833	Okefenoke Rural El Member Corp	GA	31833GA	31833GA1							1																																								0
40127	Clarke-Washington E M C	AL	40127AL	40127AL1							1																																								0
40165	Dixie Escalante R E A, Inc	NV	40165NV	40165NV1							1																																								0
40165	Dixie Escalante R E A, Inc	UT	40165UT	40165UT1							1																																								0
40166	Chickasaw Electric Coop, Inc	TN	40166TN	40166TN1							1																																								0
40212	Colquitt Electric Membership Corp	GA	40212GA	40212GA1							1																																								0
40236	Forked Deer Electric Coop, Inc	TN	40236TN	40236TN1							1																																								0
40293	Northwestern Rural E C A, Inc - (PA)	OH	40293OH	40293OH1							1																																								0
40302	North East Mississippi EPA	MS	40302MS	40302MS1							1																																								0
40303	Monroe County Elec Power Assn	MS	40303MS	40303MS1							1																																								0
40304	Minnesota Valley Coop L&P Assn	MN	40304MN	40304MN1							1																																								0
40305	Hickman Fulton Counties RECC	KY	40305KY	40305KY1							1																																								0
40305	Hickman Fulton Counties RECC	TN	40305TN	40305TN1							1																																								0
40364	Courtland Electric Dept	AL	40364AL	40364AL1							1																																								0
40437	Emerald People's Utility Dist	OR	40437OR	40437OR1							1																																								0
40438	Columbia River Peoples Ut Dist	OR	40438OR	40438OR1							1																																								0
40441	Town of Murphy - (NC)	NC	40441NC	40441NC1							1																																								0
